family_id,label,canonical,variant,review_status,rationale
aiden,Aiden family,Aiden,Aiden,approved,"Aiden, Aidan, Ayden, and Aden are established modern spelling forms; the family view combines their qualifying male records while preserving each spelling."
aiden,Aiden family,Aiden,Aidan,approved,"Aiden, Aidan, Ayden, and Aden are established modern spelling forms; the family view combines their qualifying male records while preserving each spelling."
aiden,Aiden family,Aiden,Ayden,approved,"Aiden, Aidan, Ayden, and Aden are established modern spelling forms; the family view combines their qualifying male records while preserving each spelling."
aiden,Aiden family,Aiden,Aden,approved,"Aiden, Aidan, Ayden, and Aden are established modern spelling forms; the family view combines their qualifying male records while preserving each spelling."
caitlin,Caitlin family,Caitlin,Caitlin,approved,"Caitlin, Kaitlin, Kaitlyn, Katelyn, and qualifying direct forms divide one prominent spelling pattern across conventional rankings."
caitlin,Caitlin family,Caitlin,Katelyn,approved,"Caitlin, Kaitlin, Kaitlyn, Katelyn, and qualifying direct forms divide one prominent spelling pattern across conventional rankings."
caitlin,Caitlin family,Caitlin,Kaitlin,approved,"Caitlin, Kaitlin, Kaitlyn, Katelyn, and qualifying direct forms divide one prominent spelling pattern across conventional rankings."
caitlin,Caitlin family,Caitlin,Kaitlyn,approved,"Caitlin, Kaitlin, Kaitlyn, Katelyn, and qualifying direct forms divide one prominent spelling pattern across conventional rankings."
caitlin,Caitlin family,Caitlin,Caitlyn,approved,"Caitlin, Kaitlin, Kaitlyn, Katelyn, and qualifying direct forms divide one prominent spelling pattern across conventional rankings."
caitlin,Caitlin family,Caitlin,Katlyn,approved,"Caitlin, Kaitlin, Kaitlyn, Katelyn, and qualifying direct forms divide one prominent spelling pattern across conventional rankings."
hailey,Hailey family,Hailey,Hailey,approved,"Hailey, Haley, Hayley, Haylee, and Haleigh are established modern spelling forms whose separate rankings divide the broader pattern."
hailey,Hailey family,Hailey,Haley,approved,"Hailey, Haley, Hayley, Haylee, and Haleigh are established modern spelling forms whose separate rankings divide the broader pattern."
hailey,Hailey family,Hailey,Hayley,approved,"Hailey, Haley, Hayley, Haylee, and Haleigh are established modern spelling forms whose separate rankings divide the broader pattern."
hailey,Hailey family,Hailey,Haylee,approved,"Hailey, Haley, Hayley, Haylee, and Haleigh are established modern spelling forms whose separate rankings divide the broader pattern."
hailey,Hailey family,Hailey,Haleigh,approved,"Hailey, Haley, Hayley, Haylee, and Haleigh are established modern spelling forms whose separate rankings divide the broader pattern."
sophia,Sophia family,Sophia,Sophia,approved,Sophia and Sofia are established English and international spelling forms; this family combines their U.S. counts without treating the spellings as identical identities.
sophia,Sophia family,Sophia,Sofia,approved,Sophia and Sofia are established English and international spelling forms; this family combines their U.S. counts without treating the spellings as identical identities.
jayden,Jayden family,Jayden,Jayden,approved,"Jayden, Jaden, Jaiden, and Jaydon are direct modern spelling forms that chart separately; grouping them reveals the combined male footprint."
jayden,Jayden family,Jayden,Jaden,approved,"Jayden, Jaden, Jaiden, and Jaydon are direct modern spelling forms that chart separately; grouping them reveals the combined male footprint."
jayden,Jayden family,Jayden,Jaiden,approved,"Jayden, Jaden, Jaiden, and Jaydon are direct modern spelling forms that chart separately; grouping them reveals the combined male footprint."
jayden,Jayden family,Jayden,Jaydon,approved,"Jayden, Jaden, Jaiden, and Jaydon are direct modern spelling forms that chart separately; grouping them reveals the combined male footprint."
jackson,Jackson family,Jackson,Jackson,approved,"Jackson, Jaxon, and Jaxson are direct modern spelling forms recorded separately; the family view combines only their qualifying male counts."
jackson,Jackson family,Jackson,Jaxon,approved,"Jackson, Jaxon, and Jaxson are direct modern spelling forms recorded separately; the family view combines only their qualifying male counts."
jackson,Jackson family,Jackson,Jaxson,approved,"Jackson, Jaxon, and Jaxson are direct modern spelling forms recorded separately; the family view combines only their qualifying male counts."
