family_id,label,canonical,variant,review_status,rationale
steven,Steven family,Steven,Steven,approved,Steven and Stephen are established U.S. spelling forms with a shared conventional pronunciation in most use; the family view keeps both underlying records visible.
steven,Steven family,Steven,Stephen,approved,Steven and Stephen are established U.S. spelling forms with a shared conventional pronunciation in most use; the family view keeps both underlying records visible.
catherine,Catherine family,Catherine,Catherine,approved,"Catherine, Katherine, Katharine, Kathryn, and qualifying Cathryn forms are established orthographic variants; this reviewed grouping combines separately ranked spellings without treating their bearers as interchangeable."
catherine,Catherine family,Catherine,Katherine,approved,"Catherine, Katherine, Katharine, Kathryn, and qualifying Cathryn forms are established orthographic variants; this reviewed grouping combines separately ranked spellings without treating their bearers as interchangeable."
catherine,Catherine family,Catherine,Katharine,approved,"Catherine, Katherine, Katharine, Kathryn, and qualifying Cathryn forms are established orthographic variants; this reviewed grouping combines separately ranked spellings without treating their bearers as interchangeable."
catherine,Catherine family,Catherine,Kathryn,approved,"Catherine, Katherine, Katharine, Kathryn, and qualifying Cathryn forms are established orthographic variants; this reviewed grouping combines separately ranked spellings without treating their bearers as interchangeable."
catherine,Catherine family,Catherine,Cathryn,approved,"Catherine, Katherine, Katharine, Kathryn, and qualifying Cathryn forms are established orthographic variants; this reviewed grouping combines separately ranked spellings without treating their bearers as interchangeable."
elizabeth,Elizabeth family,Elizabeth,Elizabeth,approved,Elizabeth and Elisabeth are established English and continental spelling forms of the same name; they remain separate records and are grouped only for demographic comparison.
elizabeth,Elizabeth family,Elizabeth,Elisabeth,approved,Elizabeth and Elisabeth are established English and continental spelling forms of the same name; they remain separate records and are grouped only for demographic comparison.
sarah,Sarah family,Sarah,Sarah,approved,Sarah and Sara differ by the established final-h spelling convention; the reviewed family shows their combined footprint while preserving both separate SSA entries.
sarah,Sarah family,Sarah,Sara,approved,Sarah and Sara differ by the established final-h spelling convention; the reviewed family shows their combined footprint while preserving both separate SSA entries.
philip,Philip family,Philip,Philip,approved,Philip and Phillip are established one-l and two-l spellings; grouping them reveals a combined footprint hidden by separate conventional ranks.
philip,Philip family,Philip,Phillip,approved,Philip and Phillip are established one-l and two-l spellings; grouping them reveals a combined footprint hidden by separate conventional ranks.
jeffrey,Jeffrey family,Jeffrey,Jeffrey,approved,Jeffrey and Jeffery are direct transposition spellings recorded separately by SSA; Geoffrey is deliberately excluded as a less certain semantic match.
jeffrey,Jeffrey family,Jeffrey,Jeffery,approved,Jeffrey and Jeffery are direct transposition spellings recorded separately by SSA; Geoffrey is deliberately excluded as a less certain semantic match.
