family_id,label,canonical,variant,review_status,rationale
steven,Steven family,Steven,Steven,approved,Steven and Stephen are established U.S. spelling forms with a shared conventional pronunciation in most use; the family view keeps both underlying records visible.
steven,Steven family,Steven,Stephen,approved,Steven and Stephen are established U.S. spelling forms with a shared conventional pronunciation in most use; the family view keeps both underlying records visible.
catherine,Catherine family,Catherine,Catherine,approved,"Catherine, Katherine, Katharine, Kathryn, and qualifying Cathryn forms are established orthographic variants; this reviewed grouping combines separately ranked spellings without treating their bearers as interchangeable."
catherine,Catherine family,Catherine,Katherine,approved,"Catherine, Katherine, Katharine, Kathryn, and qualifying Cathryn forms are established orthographic variants; this reviewed grouping combines separately ranked spellings without treating their bearers as interchangeable."
catherine,Catherine family,Catherine,Katharine,approved,"Catherine, Katherine, Katharine, Kathryn, and qualifying Cathryn forms are established orthographic variants; this reviewed grouping combines separately ranked spellings without treating their bearers as interchangeable."
catherine,Catherine family,Catherine,Kathryn,approved,"Catherine, Katherine, Katharine, Kathryn, and qualifying Cathryn forms are established orthographic variants; this reviewed grouping combines separately ranked spellings without treating their bearers as interchangeable."
catherine,Catherine family,Catherine,Cathryn,approved,"Catherine, Katherine, Katharine, Kathryn, and qualifying Cathryn forms are established orthographic variants; this reviewed grouping combines separately ranked spellings without treating their bearers as interchangeable."
jeffrey,Jeffrey family,Jeffrey,Jeffrey,approved,Jeffrey and Jeffery are direct transposition spellings recorded separately by SSA; Geoffrey is deliberately excluded as a less certain semantic match.
jeffrey,Jeffrey family,Jeffrey,Jeffery,approved,Jeffrey and Jeffery are direct transposition spellings recorded separately by SSA; Geoffrey is deliberately excluded as a less certain semantic match.
theresa,Theresa family,Theresa,Theresa,approved,Theresa and Teresa are established spelling forms whose separate conventional ranks divide their shared demographic footprint.
theresa,Theresa family,Theresa,Teresa,approved,Theresa and Teresa are established spelling forms whose separate conventional ranks divide their shared demographic footprint.
brian,Brian family,Brian,Brian,approved,Brian and Bryan are established spelling forms recorded separately; this family combines their counts while retaining each variant as its own entry.
brian,Brian family,Brian,Bryan,approved,Brian and Bryan are established spelling forms recorded separately; this family combines their counts while retaining each variant as its own entry.
rebecca,Rebecca family,Rebecca,Rebecca,approved,Rebecca and Rebekah are established spelling forms with different orthographic traditions; the reviewed grouping is demographic rather than personal.
rebecca,Rebecca family,Rebecca,Rebekah,approved,Rebecca and Rebekah are established spelling forms with different orthographic traditions; the reviewed grouping is demographic rather than personal.
