family_id,label,canonical,variant,review_status,rationale
sophia,Sophia family,Sophia,Sophia,approved,Sophia and Sofia are established English and international spelling forms; this family combines their U.S. counts without treating the spellings as identical identities.
sophia,Sophia family,Sophia,Sofia,approved,Sophia and Sofia are established English and international spelling forms; this family combines their U.S. counts without treating the spellings as identical identities.
jackson,Jackson family,Jackson,Jackson,approved,"Jackson, Jaxon, and Jaxson are direct modern spelling forms recorded separately; the family view combines only their qualifying male counts."
jackson,Jackson family,Jackson,Jaxon,approved,"Jackson, Jaxon, and Jaxson are direct modern spelling forms recorded separately; the family view combines only their qualifying male counts."
jackson,Jackson family,Jackson,Jaxson,approved,"Jackson, Jaxon, and Jaxson are direct modern spelling forms recorded separately; the family view combines only their qualifying male counts."
aiden,Aiden family,Aiden,Aiden,approved,"Aiden, Aidan, Ayden, and Aden are established modern spelling forms; the family view combines their qualifying male records while preserving each spelling."
aiden,Aiden family,Aiden,Aidan,approved,"Aiden, Aidan, Ayden, and Aden are established modern spelling forms; the family view combines their qualifying male records while preserving each spelling."
aiden,Aiden family,Aiden,Ayden,approved,"Aiden, Aidan, Ayden, and Aden are established modern spelling forms; the family view combines their qualifying male records while preserving each spelling."
aiden,Aiden family,Aiden,Aden,approved,"Aiden, Aidan, Ayden, and Aden are established modern spelling forms; the family view combines their qualifying male records while preserving each spelling."
jayden,Jayden family,Jayden,Jayden,approved,"Jayden, Jaden, Jaiden, and Jaydon are direct modern spelling forms that chart separately; grouping them reveals the combined male footprint."
jayden,Jayden family,Jayden,Jaden,approved,"Jayden, Jaden, Jaiden, and Jaydon are direct modern spelling forms that chart separately; grouping them reveals the combined male footprint."
jayden,Jayden family,Jayden,Jaiden,approved,"Jayden, Jaden, Jaiden, and Jaydon are direct modern spelling forms that chart separately; grouping them reveals the combined male footprint."
jayden,Jayden family,Jayden,Jaydon,approved,"Jayden, Jaden, Jaiden, and Jaydon are direct modern spelling forms that chart separately; grouping them reveals the combined male footprint."
zoe,Zoe family,Zoe,Zoe,approved,Zoe and Zoey are established spelling forms whose separate ranks divide their combined female footprint.
zoe,Zoe family,Zoe,Zoey,approved,Zoe and Zoey are established spelling forms whose separate ranks divide their combined female footprint.
grayson,Grayson family,Grayson,Grayson,approved,Grayson and Greyson are established one-vowel spelling forms recorded separately; the reviewed family combines their qualifying male counts.
grayson,Grayson family,Grayson,Greyson,approved,Grayson and Greyson are established one-vowel spelling forms recorded separately; the reviewed family combines their qualifying male counts.
